cell_id,block_id,year,valid_frac,dominant_class,y_true,y_pred,abs_error,task,target,pair_id,valid_frac_min
24025,8589934604,2021.0,0.8264462809917356,built,0.98,-0.022633016001698238,1.0026330160016983,composition,built_prop,,
15229,47244640264,2020.0,0.4628099173553719,other,0.01,0.9723943954105875,0.9623943954105875,composition,built_prop,,
15040,47244640264,2020.0,0.8264462809917356,other,0.0,0.9381684042422768,0.9381684042422768,composition,built_prop,,
15416,47244640264,2020.0,0.8264462809917356,other,0.06,0.9828680512694011,0.9228680512694012,composition,built_prop,,
24025,8589934604,2020.0,0.8264462809917356,built,1.0,0.0855753423807322,0.9144246576192678,composition,built_prop,,
28965,21474836495,2020.0,0.8264462809917356,veg,0.0,0.9136885210272055,0.9136885210272055,composition,built_prop,,
22380,34359738380,2020.0,0.8264462809917356,water,0.0,0.9129314688783151,0.9129314688783151,composition,built_prop,,
28214,21474836495,2020.0,0.8264462809917356,veg,0.04,0.9269480273463969,0.8869480273463969,composition,built_prop,,
31059,25769803792,2021.0,0.8264462809917356,water,0.1,0.9583299522340235,0.8583299522340235,composition,built_prop,,
41302,42949672982,2020.0,0.8264462809917356,other,0.09,0.9465248362468224,0.8565248362468224,composition,built_prop,,
22379,34359738380,2020.0,0.8264462809917356,water,0.0,0.8467645533047061,0.8467645533047061,composition,built_prop,,
19919,34359738378,2020.0,0.8264462809917356,built,1.0,0.1683218446206924,0.8316781553793076,composition,built_prop,,
6025,73014444035,2021.0,0.8264462809917356,built,0.98,0.1590117622608645,0.8209882377391355,composition,built_prop,,
15416,47244640264,2021.0,0.8264462809917356,other,0.15,0.9666383769771034,0.8166383769771034,composition,built_prop,,
29893,12884901904,2021.0,0.8264462809917356,veg,0.0,0.8144774488584294,0.8144774488584294,composition,built_prop,,
15226,47244640264,2020.0,0.8264462809917356,other,0.17,0.9842058558453823,0.8142058558453823,composition,built_prop,,
28564,12884901903,2021.0,0.8264462809917356,veg,0.03,0.842686236411034,0.812686236411034,composition,built_prop,,
27062,17179869198,2020.0,0.8264462809917356,veg,0.0,0.8115416957184592,0.8115416957184592,composition,built_prop,,
28905,77309411343,2020.0,0.8264462809917356,built,0.97,0.1622566111856827,0.8077433888143173,composition,built_prop,,
