model,target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
lgbm,built_prop,0.048670570255662265,0.0024362250350334585,0.09763117747573836,0.003234711854782976,0.9152954920697353,0.004960484507245911
lgbm,other_prop,0.012960242119274193,0.0016594787831259315,0.043952107040253575,0.007724826244414002,0.20611385414320274,0.09885763136803383
lgbm,veg_prop,0.047579313568203524,0.001408510421988837,0.09488207299691725,0.0010713617095755045,0.9228885681466814,0.002329306131699943
lgbm,water_prop,0.0029527371781606086,0.0005881722859617944,0.01840906159514087,0.003882905281907301,0.8794285691617618,0.04721903389827037
ridge,built_prop,0.1100317617098836,0.00317352831924305,0.1596540363758815,0.0060938157105996735,0.7733275823427285,0.0170857533952185
ridge,other_prop,0.016481735839579285,0.0015671989178055916,0.04720728069664512,0.009250079766387283,0.09229993314368738,0.08175779663513756
ridge,veg_prop,0.10113118933634055,0.002235818300146319,0.14601463820851435,0.005381561751318785,0.8172101795943625,0.013891487671081235
ridge,water_prop,0.019777413773103096,0.0010315897022366892,0.03894510446767539,0.00532911116725767,0.4776407439826997,0.15331319742191338
