model,target,mae_mean,rmse_mean,r2_mean,sign_accuracy_mean,threshold_f1_mean
lgbm,delta_built,0.01866442201076988,0.040221877423129396,0.22305475189823287,0.282735520603879,0.49472918847763625
lgbm,delta_other,0.01818440457299466,0.050657436883104055,0.222398910458195,0.16193331895218427,0.46338913700948814
lgbm,delta_veg,0.028753833390547063,0.06176364563139451,0.22116765502184724,0.3087143064837511,0.4615132113405894
lgbm,delta_water,0.0019117350615931936,0.012113580752633149,-0.12817505493858347,0.01468317454905391,0.14249176620657988
ridge,delta_built,0.022218788755422526,0.042774364755236674,0.12187684541178882,0.28052556675317847,0.08024311767055073
ridge,delta_other,0.022524833053848885,0.05445568007843764,0.10286985361519954,0.16311175124777455,0.2999436074932131
ridge,delta_veg,0.03358879255235116,0.06694038054753636,0.08495312327117492,0.28830993283917605,0.08699764821730413
ridge,delta_water,0.0017859557212704102,0.011774072150476125,-0.061096273788005015,0.010779098394470532,0.0
