year,dominant_class,n_cells,share
2020,veg,31308,0.7687283620202814
2021,veg,30896,0.7586122228497065
2021,built,9584,0.23532300439511872
2020,built,8983,0.22056620914872196
2020,other,229,0.005622805509858325
2021,water,208,0.005107177056989221
2020,water,207,0.005082623321138311
2021,other,39,0.0009575956981854789
